city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
los-angeles,Bellflower,79071.0,24019.0,1570.0003254361834,33.79999882341265
los-angeles,Beverly Crest,19628.0,7948.0,2871.9349772042206,48.899225950991514
los-angeles,Beverly Grove,20504.0,11474.0,2162.0,31.300000000000004
los-angeles,Beverly Hills,20202.0,9305.0,2367.872821134761,36.192055586875625
los-angeles,Beverlywood,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Boyle Heights,93227.0,25072.0,1227.3948534222918,34.001891083055334
los-angeles,Brentwood,35853.0,16116.0,2554.0,27.6
los-angeles,Broadway-Manchester,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Burbank,111470.0,44690.0,1867.585250385894,35.392996821821946
los-angeles,Calabasas,26242.0,9762.0,2619.9609683928225,46.099527740494686
los-angeles,Canoga Park,29968.0,9890.0,1753.9841563565578,37.499620291583824
los-angeles,Carson,86432.0,23887.0,1881.4166493595988,35.810231913068485
los-angeles,Carthay,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Castaic,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Castaic Canyons,52905.0,16670.0,2073.113892167638,39.74117595562088
los-angeles,Central-Alameda,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Century City,2483.0,1531.0,3362.0,44.5
los-angeles,Cerritos,49989.0,15687.0,2459.0,28.9
los-angeles,Charter Oak,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Chatsworth,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Chatsworth Reservoir,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Chesterfield Square,1.0,1.0,1595.7325644423388,33.70696606144814
los-angeles,Cheviot Hills,1.0,1.0,1595.7325644423388,33.70696606144814
