,city,neighborhood,coordinates
398,new-york-city,Chinatown,"(-73.994960770558, 40.715922)"
399,new-york-city,City Island,"(-73.78581811175962, 40.859625)"
400,new-york-city,Cypress Hills,"(-73.87685576131506, 40.682869499999995)"
401,new-york-city,Canarsie,"(-73.90091564759535, 40.6411035)"
402,new-york-city,Carroll Gardens,"(-73.99798916552064, 40.678580999999994)"
403,new-york-city,Castle Hill,"(-73.8490984558754, 40.818856999999994)"
404,new-york-city,Castleton Corners,"(-74.11828249508451, 40.6182035)"
405,new-york-city,Grant City,"(-74.10781980205549, 40.578902)"
406,new-york-city,Charleston,"(-74.23491512840786, 40.541746)"
407,new-york-city,Chelsea,"(-73.99987431739724, 40.746157999999994)"
408,new-york-city,Civic Center,"(-74.00299411609346, 40.713905499999996)"
409,new-york-city,Claremont Village,"(-73.90698976916482, 40.83813)"
410,new-york-city,Clason Point,"(-73.85990401842236, 40.813088)"
411,new-york-city,Clifton,"(-74.07857098413592, 40.62017)"
412,new-york-city,Clinton Hill,"(-73.9646451339558, 40.689689)"
413,new-york-city,Co-op City,"(-73.82885019008212, 40.8732275)"
414,new-york-city,Cobble Hill,"(-73.99525378138529, 40.687662)"
415,new-york-city,College Point,"(-73.83759165260454, 40.7817955)"
416,new-york-city,Crown Heights,"(-73.93808991708941, 40.6721405)"
417,new-york-city,Columbia St,"(-74.00506496234534, 40.6857375)"
418,new-york-city,Concord,"(-74.07926505003172, 40.6021595)"
